                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.89588,                0.66731,                 2.1511,                0.78238,                0.76664,                0.78587,                0.59363,                0.87168,                0.73829,                 2.3372,             0.00054478,             0.00054478,             0.00054478
                     36,                0.88042,                0.66063,                 2.1231,                0.85431,                0.71874,                0.78875,                0.59609,                0.86971,                0.73088,                 2.3211,             0.00051177,             0.00051177,             0.00051177
                     37,                0.88485,                0.64153,                 2.0988,                0.85858,                0.71219,                0.78769,                0.59564,                0.86399,                0.73421,                 2.3326,             0.00047876,             0.00047876,             0.00047876
                     38,                 0.8717,                0.64374,                 2.0828,                0.86687,                 0.6968,                0.77519,                0.58579,                0.87264,                0.74866,                 2.3393,             0.00044576,             0.00044576,             0.00044576
                     39,                0.86278,                0.63236,                  2.077,                 0.8181,                0.72739,                0.77227,                0.58116,                 0.8779,                0.78062,                 2.3776,             0.00041275,             0.00041275,             0.00041275
                     40,                0.85634,                0.63279,                 2.0707,                0.82459,                0.74314,                0.78458,                0.59592,                 0.8624,                0.77267,                 2.3337,             0.00037974,             0.00037974,             0.00037974
                     41,                0.81166,                0.60755,                 2.0413,                 0.8376,                0.74803,                0.78212,                0.59476,                0.86191,                0.75146,                 2.3482,             0.00034674,             0.00034674,             0.00034674
                     42,                 0.7729,                0.58425,                 1.9751,                0.82789,                0.74475,                0.78092,                0.58588,                0.87346,                0.76137,                 2.2963,             0.00031373,             0.00031373,             0.00031373
                     43,                0.78973,                0.58828,                 1.9948,                0.81663,                 0.7506,                0.77954,                0.58304,                0.88326,                0.75108,                 2.3087,             0.00028072,             0.00028072,             0.00028072
                     44,                0.77556,                0.58943,                 2.0123,                0.84085,                0.75167,                0.78087,                0.58672,                0.85936,                0.75884,                 2.3272,             0.00024772,             0.00024772,             0.00024772
                     45,                0.77506,                0.58366,                 2.0315,                0.83264,                0.74933,                0.77521,                0.58021,                0.87215,                0.74682,                 2.3141,             0.00021471,             0.00021471,             0.00021471
                     46,                0.76069,                0.58746,                 2.0051,                0.83077,                0.74656,                0.77586,                0.58129,                0.86014,                0.76332,                  2.335,              0.0001817,              0.0001817,              0.0001817
                     47,                0.75703,                0.58236,                 2.0303,                0.84028,                0.73366,                0.77128,                0.58258,                0.85576,                0.75732,                 2.3288,              0.0001487,              0.0001487,              0.0001487
                     48,                0.75291,                0.57645,                 1.9626,                0.84067,                0.74656,                0.77207,                0.57826,                0.86148,                0.74805,                 2.3363,             0.00011569,             0.00011569,             0.00011569
                     49,                0.73664,                0.55663,                 1.9781,                0.83566,                0.75141,                0.76981,                0.58325,                0.84708,                0.74982,                 2.3427,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.73525,                0.55447,                 1.9829,                0.83615,                0.75025,                0.77216,                0.58323,                 0.8461,                0.74907,                 2.3367,             4.9677e-05,             4.9677e-05,             4.9677e-05
